payment_type,date,year,total_fare,total_tips,total_tolls,total_extras,trip_total,total_trp_miles,total_trip_minutes
Cash,2020-05-08,2020,16638.620000000003,0,0,10611.64,27250.260000000006,3759.0199999999932,17456.56666666664
Cash,2020-05-09,2020,12452.309999999998,0,1.5,377.83000000000004,12831.639999999998,2836.9699999999984,12745.533333333336
Cash,2020-05-10,2020,11615.6,0,0,484,12100.1,2822.8199999999952,14352.400000000012
Cash,2020-05-11,2020,14407.859999999997,0,0,397.5,14805.359999999997,3232.2100000000046,14755.250000000007
Cash,2020-05-12,2020,15366.51,0,1,3710.34,19077.849999999995,3435.1600000000003,16614.599999999977
Cash,2020-05-13,2020,15897.140000000001,0,0,4954.99,20852.13,3623.6500000000028,16256.916666666666
Cash,2020-05-14,2020,14687.25,0,30.4,442.25,15159.9,3278.3899999999976,20921.516666666656
Cash,2020-05-15,2020,16933.990000000005,0,0,477.32,17411.31,3811.0899999999983,18365.916666666657
Cash,2020-05-16,2020,13641.189999999999,0,3,470.31,14114.5,3212.9399999999955,14800.41666666667
Cash,2020-05-17,2020,12333.810000000003,0,0,800,13133.810000000003,3049.1100000000019,12256.216666666665
Cash,2020-05-18,2020,16612.149999999998,0,3,498.52000000000004,17113.67,3787.0800000000036,18375.733333333326
Cash,2020-05-19,2020,16306.87,0,0,538.54,16845.41,3884.5899999999947,21408.749999999985
Cash,2020-05-20,2020,16680.96,0,0,587.61,17268.57,3845.1999999999935,17155.549999999992
Cash,2020-05-21,2020,15522.180000000002,0,7.1,1220.19,16749.47,3471.0199999999982,17303.883333333331
Cash,2020-05-22,2020,18970.800000000007,0,6.4,692.5,19669.700000000008,4468.7700000000023,20116.866666666672
Cash,2020-05-23,2020,13288.800000000003,0,0,1054.9099999999999,14343.710000000003,2905.6099999999979,12969.400000000003
Cash,2020-05-24,2020,12502.150000000001,0,1.9,543.1,13047.150000000001,3269.91,13199.616666666669
Cash,2020-05-25,2020,15738.259999999998,0,0,1325.94,17064.199999999997,3647.2099999999946,14210.599999999995
Cash,2020-05-26,2020,17706.670000000002,0,0,844.5,18551.170000000006,4241.550000000002,17941.799999999996
Cash,2020-05-27,2020,19110.389999999996,0,0,5088.94,24199.829999999991,5533.81000000001,21430.399999999983
Cash,2020-05-28,2020,18577.92,0,0,4947.71,23525.629999999997,4398.4199999999928,22453.599999999969
Cash,2020-05-29,2020,19737.88,0,0,1298.74,21036.62,4331.419999999991,21809.133333333346
Cash,2020-05-30,2020,21841.34,0,79.300000000000011,1034.51,22955.15,4512.4,25900.6666666667
Cash,2020-05-31,2020,24869.170000000002,0,5.1,8345.7200000000012,33220.490000000005,6408.7299999999987,25216.216666666671
Cash,2020-06-01,2020,30927.279999999995,0,5.5,4539.58,35472.36,7497.9100000000171,33172.833333333328
Cash,2020-06-02,2020,28800.410000000003,0,16.5,856.59,29673.500000000004,6903.89000000002,32179.73333333333
Cash,2020-06-03,2020,26567.300000000003,0,1.9,5631.3399999999992,32200.540000000005,6611.239999999998,27169.199999999975
Cash,2020-06-04,2020,23167.44,0,0,812.90000000000009,23980.340000000004,5143.7199999999948,26746.299999999992
Cash,2020-06-05,2020,25089.049999999996,0,1.5,1084.26,26174.809999999998,5746.2699999999995,30498.533333333318
Cash,2020-06-06,2020,22162.249999999996,0,0,1006.75,23169.499999999996,5326.2700000000013,25787.816666666658
Cash,2020-06-07,2020,17005.4,0,1.5,976.36,17983.260000000002,4464.2199999999957,16964.200000000004
Cash,2020-06-08,2020,25158.73,0,7,1039.56,26205.29,5889.5400000000009,25659.600000000028
Cash,2020-06-09,2020,24237.309999999994,0,0,1059.01,25296.319999999992,5587.74,31238.233333333341
Cash,2020-06-10,2020,27590.91,0,50,860.40000000000009,28503.26,6355.920000000001,25361.38333333335
Cash,2020-06-11,2020,24344.980000000003,0,0,1242.54,25587.520000000004,5638.8500000000058,26763.866666666625
Cash,2020-06-12,2020,27889.53,0,5.4,5670.38,33567.26,6658.160000000008,31652.233333333388
Cash,2020-06-13,2020,20304.39,0,8.7,1087.42,21400.510000000002,4859.9899999999943,22912.566666666622
Cash,2020-06-14,2020,18220.84,0,3.6,9051.98,27276.419999999995,4548.9699999999948,19198.599999999991
Cash,2020-06-15,2020,24988.28,0,6.6,1199.1,26193.979999999996,5801.1900000000114,25588.733333333319
Cash,2020-06-16,2020,23334.87,0,3.9,1389.4399999999998,24728.709999999995,5070.0600000000059,26613.033333333351
Cash,2020-06-17,2020,25758.159999999996,0,0,5412.5599999999995,31170.789999999994,5854.8900000000076,28217.900000000005
Cash,2020-06-18,2020,26114.82,0,0,5412.7699999999995,31527.59,7186.229999999985,30324.633333333295
Cash,2020-06-19,2020,28160.480000000003,0,7.5,1221,29389.480000000003,6834.0400000000109,33556.383333333339
Cash,2020-06-20,2020,21010.579999999998,0,0,4659.2,25670.28,5360.5200000000077,22369.449999999997
Cash,2020-06-21,2020,18893.31,0,0,1736.12,20629.43,4666.49,18447.216666666685
Cash,2020-06-22,2020,28245.71,0,9.2,1443.5,29698.41,6554.6499999999978,27449.51666666667
Cash,2020-06-23,2020,27809.179999999993,0,3.9,5644.69,33458.27,6451.9600000000082,35600.566666666695
Cash,2020-06-24,2020,25655.859999999997,0,7.2,8494.63,34157.829999999994,5724.2499999999936,30655.533333333347
Cash,2020-06-25,2020,28841.129999999994,0,5.6,2023.4,30870.769999999997,6333.8500000000131,37141.233333333337
Cash,2020-06-26,2020,30807.06,0,4.3,1350.75,32162.110000000004,6889.8099999999959,36148.66666666665
Cash,2020-06-27,2020,22011.600000000002,0,1.9,1202,23215.500000000007,4954.3200000000006,25776.483333333359
Cash,2020-06-28,2020,19943.700000000004,0,3.5,1497.35,21444.550000000003,5077.1899999999978,21118.983333333323
Cash,2020-06-29,2020,30555.979999999996,0,5.5,5808.12,36373.670000000006,7049.1699999999992,34075.433333333385
Cash,2020-06-30,2020,29595.45,0,4.51,1823.8600000000001,31426.82,6772.3399999999965,32594.550000000003
Cash,2020-07-01,2020,33213.02,0,0,1653.75,34867.35,7778.6900000000123,36441.066666666695
Cash,2020-07-02,2020,34926.600000000006,0,3,6350.15,41279.750000000007,8559.9500000000062,41287.433333333232
